Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
SP5858,MICHAEL SNELSON,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP5859,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP5860,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP5861,CRAIG CONOVER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5862,XIMENA M. BISHOP,CRAIG CONOVER,MICHAEL SNELSON,skipped,skipped,skipped,skipped,2,7
SP5863,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,2,7
SP5864,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,AMANDA MILLER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,2,7
SP5865,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,2,7
SP5866,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,2,7
SP5867,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,2,7
SP5868,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,2,7
SP5869,MICHAEL SNELSON,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP5870,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5871,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,2,7
SP5872,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,2,7
SP5873,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,DALE WATSON,2,7
SP5874,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP5875,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP5876,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5878,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5879,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP5880,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,2,7
SP5881,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP5882,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,skipped,skipped,2,7
SP5883,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,2,7
SP5884,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5885,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5886,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,2,7
SP5887,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,2,7
SP5888,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,2,7
SP5889,MICHAEL SNELSON,DALE WATSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP5890,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,2,7
SP5891,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,2,7
SP5892,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP5893,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP5894,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP5895,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5896,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5897,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,skipped,2,7
SP5899,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5900,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,skipped,2,7
SP5901,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG JENSEN,2,7
SP5902,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,2,7
SP5903,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,2,7
SP5904,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,2,7
SP5905,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP5906,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,2,7
SP5907,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,2,7
SP5908,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5909,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5910,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP5911,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP5912,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,skipped,skipped,2,7
SP5913,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,2,7
SP5914,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5915,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP5916,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5917,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5918,MICHAEL SNELSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG JENSEN,skipped,skipped,skipped,2,7
SP5919,DALE WATSON,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP5920,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP5921,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5922,DALE WATSON,CRAIG CONOVER,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP5923,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP5924,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP5925,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5926,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP5927,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,2,7
SP5928,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP5929,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,skipped,skipped,skipped,skipped,2,7
SP5930,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5931,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,skipped,2,7
SP5932,AMANDA MILLER,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5933,MICHAEL SNELSON,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP5934,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,2,7
SP5935,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP5936,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,skipped,skipped,skipped,skipped,2,7
SP5937,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,2,7
SP5938,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5939,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5940,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5941,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP5942,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5943,CRAIG JENSEN,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,2,7
SP5944,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,skipped,skipped,2,7
SP5945,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,XIMENA M. BISHOP,skipped,2,7
SP5947,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP5948,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP5949,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP5950,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,AMANDA MILLER,skipped,skipped,2,7
SP5951,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP5952,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,2,7
SP5953,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP5954,MARCIA CONOVER-HARRIS,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,AMANDA MILLER,MICHAEL SNELSON,2,7
SP5955,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP5956,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,AMANDA MILLER,2,7
SP5957,MICHAEL SNELSON,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,2,7
SP5958,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,2,7
SP5959,MICHAEL SNELSON,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP5960,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,skipped,skipped,skipped,skipped,2,7
SP5961,CRAIG JENSEN,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,DALE WATSON,skipped,skipped,2,7
SP5962,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5963,DALE WATSON,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,skipped,2,7
SP5964,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5965,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,DALE WATSON,skipped,skipped,2,7
SP5966,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5967,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,skipped,2,7
SP5968,CRAIG CONOVER,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,2,7
SP5969,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP5970,XIMENA M. BISHOP,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5971,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,2,7
SP5972,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,skipped,skipped,skipped,2,7
SP5973,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5974,CRAIG JENSEN,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG CONOVER,skipped,skipped,skipped,2,7
SP5975,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP5976,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,AMANDA MILLER,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,2,7
SP5977,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP5978,XIMENA M. BISHOP,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5979,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,skipped,2,7
SP5980,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,2,7
SP5981,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,skipped,skipped,skipped,2,7
SP5982,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,skipped,skipped,2,7
SP5983,CRAIG CONOVER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,MICHAEL SNELSON,2,7
SP5984,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5985,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,CRAIG JENSEN,AMANDA MILLER,2,7
SP5986,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,DALE WATSON,skipped,2,7
SP5988,AMANDA MILLER,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,2,7
SP5989,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,2,7
SP5990,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,2,7
SP5991,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,skipped,2,7
SP5992,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5993,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP5994,MICHAEL SNELSON,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP5995,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,MICHAEL SNELSON,DALE WATSON,AMANDA MILLER,CRAIG JENSEN,2,7
SP5996,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,DALE WATSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP5997,AMANDA MILLER,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,2,7
SP5998,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,skipped,skipped,2,7
SP5999,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,MICHAEL SNELSON,2,7
SP6000,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG CONOVER,AMANDA MILLER,2,7
SP6001,XIMENA M. BISHOP,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,skipped,skipped,skipped,2,7
SP6002,DALE WATSON,MICHAEL SNELSON,XIMENA M. BISHOP,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,AMANDA MILLER,2,7
SP6003,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP6004,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,2,7
SP6005,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,AMANDA MILLER,2,7
SP6006,XIMENA M. BISHOP,AMANDA MILLER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,DALE WATSON,2,7
SP6007,AMANDA MILLER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,CRAIG JENSEN,XIMENA M. BISHOP,skipped,skipped,2,7
SP6009,DALE WATSON,CRAIG JENSEN,CRAIG CONOVER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP6010,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP6011,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP6012,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG CONOVER,skipped,2,7
SP6013,CRAIG CONOVER,MARCIA CONOVER-HARRIS,DALE WATSON,CRAIG JENSEN,MICHAEL SNELSON,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP6014,AMANDA MILLER,DALE WATSON,MICHAEL SNELSON,CRAIG CONOVER,XIMENA M. BISHOP,CRAIG JENSEN,MARCIA CONOVER-HARRIS,2,7
SP6015,DALE WATSON,MICHAEL SNELSON,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP6016,CRAIG CONOVER,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,AMANDA MILLER,XIMENA M. BISHOP,2,7
SP6017,DALE WATSON,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,AMANDA MILLER,2,7
SP6018,CRAIG JENSEN,MICHAEL SNELSON,DALE WATSON,XIMENA M. BISHOP,AMANDA MILLER,CRAIG CONOVER,MARCIA CONOVER-HARRIS,2,7
SP6019,MICHAEL SNELSON,CRAIG CONOVER,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG JENSEN,XIMENA M. BISHOP,DALE WATSON,2,7
SP6020,MICHAEL SNELSON,XIMENA M. BISHOP,MARCIA CONOVER-HARRIS,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,DALE WATSON,2,7
SP6021,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,MARCIA CONOVER-HARRIS,DALE WATSON,MICHAEL SNELSON,CRAIG JENSEN,2,7
SP6022,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,skipped,skipped,skipped,skipped,2,7
SP6024,CRAIG CONOVER,CRAIG JENSEN,skipped,skipped,skipped,skipped,skipped,2,7
SP6025,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,DALE WATSON,2,7
SP6026,AMANDA MILLER,CRAIG CONOVER,CRAIG JENSEN,MARCIA CONOVER-HARRIS,MICHAEL SNELSON,XIMENA M. BISHOP,DALE WATSON,2,7
SP6027,CRAIG CONOVER,MARCIA CONOVER-HARRIS,CRAIG JENSEN,DALE WATSON,skipped,skipped,skipped,2,7
SP6028,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,MARCIA CONOVER-HARRIS,AMANDA MILLER,CRAIG CONOVER,2,7
SP6029,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,AMANDA MILLER,DALE WATSON,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP6030,CRAIG JENSEN,MICHAEL SNELSON,skipped,skipped,skipped,skipped,skipped,2,7
SP6031,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,DALE WATSON,AMANDA MILLER,MARCIA CONOVER-HARRIS,CRAIG CONOVER,2,7
SP6032,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,DALE WATSON,AMANDA MILLER,CRAIG CONOVER,2,7
SP6033,MARCIA CONOVER-HARRIS,DALE WATSON,XIMENA M. BISHOP,MICHAEL SNELSON,CRAIG JENSEN,CRAIG CONOVER,AMANDA MILLER,2,7
SP6034,MICHAEL SNELSON,DALE WATSON,CRAIG JENSEN,MARCIA CONOVER-HARRIS,XIMENA M. BISHOP,CRAIG CONOVER,AMANDA MILLER,2,7
SP6035,XIMENA M. BISHOP,DALE WATSON,CRAIG CONOVER,CRAIG JENSEN,AMANDA MILLER,MICHAEL SNELSON,MARCIA CONOVER-HARRIS,2,7
